RNA1 chromosome	Start of RNA1 first read	Start of RNA1 last read	RNA1 strand	RNA2 chromosome	Start of RNA2 last read	Start of RNA2 first read	RNA2 strand	interactions	other interactions of RNA1	other interactions of RNA2	total other interactions	odds ratio	Fisher's exact test p-value
NC_000913.3	708224	708692	+	NC_000913.3	507226	507290	+	89808	4529	736437	4221814	113.67794125058238	0.0
NC_000913.3	3710123	3710585	-	NC_000913.3	1622816	1622894	-	48104	4791	145134	4854559	335.8424881044083	0.0
NC_000913.3	2427509	2427967	-	NC_000913.3	2942718	2942902	+	40961	1975	400180	4609472	238.8907049954103	0.0
NC_000913.3	3239814	3240299	+	NC_000913.3	2942715	2943154	+	50729	21779	390485	4589595	27.37715876523459	0.0
NC_000913.3	1908245	1908700	-	NC_000913.3	2167113	2167202	+	33018	2072	426991	4590507	171.31797996221545	0.0
NC_000913.3	3913402	3913893	-	NC_000913.3	3986462	3986669	+	40357	8098	10477	4993656	2375.323580309388	0.0
NC_000913.3	686610	687087	-	NC_000913.3	507226	507300	+	32937	71570	793308	4154773	2.410230008790192	0.0
NC_000913.3	3888409	3888900	+	NC_000913.3	3350608	3350700	+	50186	29399	241830	4731173	33.39709384272642	0.0
NC_000913.3	2303101	2303568	-	NC_000913.3	3350616	3350900	+	29443	15962	262635	4744548	33.322455404090285	0.0
NC_000913.3	686632	687099	-	NC_000913.3	2942717	2943143	+	37439	67068	403775	4544306	6.282565519894426	0.0
NC_000913.3	2044201	2044683	+	NC_000913.3	507226	507290	+	21726	20096	804519	4206247	5.652344453350545	0.0
NC_000913.3	850401	850900	+	NC_000913.3	2167036	2167202	+	25529	8111	434496	4584452	33.209401531263296	0.0
NC_000913.3	228512	228995	+	NC_000913.3	507227	507289	+	19150	15046	807095	4211297	6.641083410676098	0.0
NC_000913.3	2942801	2942900	+	NC_000913.3	507225	507289	+	15988	65337	810257	4161006	1.256638902519921	9.182827531035656e-132
NC_000913.3	3933307	3933783	+	NC_000913.3	3350610	3350699	+	18667	4771	273349	4755801	68.07243647904802	0.0
NC_000913.3	764702	765146	+	NC_000913.3	507215	507289	+	15881	34673	810364	4191670	2.369154432905905	0.0
NC_000913.3	4399901	4400400	+	NC_000913.3	2167135	2167245	+	26335	7291	433674	4585288	38.18998233114353	0.0
NC_000913.3	2867406	2867899	-	NC_000913.3	2025220	2025311	-	23313	32639	11899	4984737	299.22171258871157	0.0
NC_000913.3	2942596	2942700	+	NC_000913.3	507227	507318	+	13878	51675	812377	4174658	1.3800972208001272	1.109392536524131e-223
NC_000913.3	4178301	4178800	+	NC_000913.3	507226	507289	+	27077	9533	799168	4216810	14.987075645265012	0.0
